titleType,primaryTitle,startYear,genres,averageRating,numVotes,Profile Name,Duration,Country,Hour,Day,Month,Year,Device Category
tvSeries,#BlackAF,2020,Comedy,6.8,5304,Priya,0.4283333333333333,TH (Thailand),9,28,9,2020,Apple Mobile Devices
tvSeries,#BlackAF,2020,Comedy,6.8,5304,Priya,0.5238888888888888,TH (Thailand),9,28,9,2020,Apple Mobile Devices
tvSeries,#BlackAF,2020,Comedy,6.8,5304,Priya,0.1086111111111111,TH (Thailand),16,27,9,2020,Apple Mobile Devices
tvSeries,#BlackAF,2020,Comedy,6.8,5304,Priya,0.1811111111111111,TH (Thailand),13,27,9,2020,Apple Mobile Devices
tvSeries,#BlackAF,2020,Comedy,6.8,5304,Priya,0.2869444444444444,TH (Thailand),7,27,9,2020,Apple Mobile Devices
tvSeries,#BlackAF,2020,Comedy,6.8,5304,Priya,0.1833333333333333,TH (Thailand),7,27,9,2020,Apple Mobile Devices
tvSeries,#BlackAF,2020,Comedy,6.8,5304,Priya,0.1527777777777778,TH (Thailand),16,26,9,2020,Apple Mobile Devices
tvSeries,#BlackAF,2020,Comedy,6.8,5304,Priya,0.4025,TH (Thailand),12,26,9,2020,Apple Mobile Devices
tvSeries,#BlackAF,2020,Comedy,6.8,5304,Priya,0.5683333333333334,TH (Thailand),18,25,9,2020,Apple Mobile Devices
tvSeries,#BlackAF,2020,Comedy,6.8,5304,Priya,0.5397222222222222,TH (Thailand),17,25,9,2020,Apple Mobile Devices
tvSeries,#BlackAF,2020,Comedy,6.8,5304,Priya,0.36,TH (Thailand),17,25,9,2020,Apple Mobile Devices
tvSeries,#BlackAF,2020,Comedy,6.8,5304,Priya,0.1777777777777777,TH (Thailand),16,25,9,2020,Apple Mobile Devices
tvSeries,#BlackAF,2020,Comedy,6.8,5304,Priya,0.5602777777777778,TH (Thailand),14,25,9,2020,Apple Mobile Devices
movie,'83,2021,"Biography,Drama,History",7.5,40595,Home,1.79,TH (Thailand),13,26,3,2022,Set Top Boxes
movie,'83,2021,"Biography,Drama,History",7.5,40595,Home,0.8491666666666666,TH (Thailand),12,26,3,2022,Set Top Boxes
movie,'83,2021,"Biography,Drama,History",7.5,40595,Pranav,2.457777777777778,TH (Thailand),11,25,3,2022,Apple Mobile Devices
movie,13 Going on 30,2004,"Comedy,Fantasy,Romance",6.3,214183,Pranav,0.5030555555555556,US (United States),2,12,11,2023,Web Browsers
movie,13 Going on 30,2004,"Comedy,Fantasy,Romance",6.3,214183,Priya,1.3075,GB (United Kingdom),20,23,9,2022,Streaming Devices
tvSeries,13 Reasons Why,2017,"Drama,Mystery,Thriller",7.5,313217,Home,0.1813888888888888,GB (United Kingdom),20,28,4,2017,Web Browsers
tvSeries,13 Reasons Why,2017,"Drama,Mystery,Thriller",7.5,313217,Pranav,1.0886111111111112,TH (Thailand),8,26,5,2018,Web Browsers
tvSeries,13 Reasons Why,2017,"Drama,Mystery,Thriller",7.5,313217,Pranav,0.8775,TH (Thailand),7,26,5,2018,Web Browsers
tvSeries,13 Reasons Why,2017,"Drama,Mystery,Thriller",7.5,313217,Pranav,0.9038888888888889,TH (Thailand),21,24,5,2018,Apple Mobile Devices
