tconst,titleType,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,Title_lower,Profile Name,Duration,Title,Country,Type,Hour,Day,Month,Year,Device Category
tt10311562,tvSeries,#BlackAF,0,2020,36,Comedy,6.8,5304,#blackaf,Priya,0.4283333333333333,#blackAF,TH (Thailand),TV Show,9,28,9,2020,Apple Mobile Devices
tt10311562,tvSeries,#BlackAF,0,2020,36,Comedy,6.8,5304,#blackaf,Priya,0.5238888888888888,#blackAF,TH (Thailand),TV Show,9,28,9,2020,Apple Mobile Devices
tt10311562,tvSeries,#BlackAF,0,2020,36,Comedy,6.8,5304,#blackaf,Priya,0.1086111111111111,#blackAF,TH (Thailand),TV Show,16,27,9,2020,Apple Mobile Devices
tt10311562,tvSeries,#BlackAF,0,2020,36,Comedy,6.8,5304,#blackaf,Priya,0.1811111111111111,#blackAF,TH (Thailand),TV Show,13,27,9,2020,Apple Mobile Devices
tt10311562,tvSeries,#BlackAF,0,2020,36,Comedy,6.8,5304,#blackaf,Priya,0.2869444444444444,#blackAF,TH (Thailand),TV Show,7,27,9,2020,Apple Mobile Devices
tt10311562,tvSeries,#BlackAF,0,2020,36,Comedy,6.8,5304,#blackaf,Priya,0.1833333333333333,#blackAF,TH (Thailand),TV Show,7,27,9,2020,Apple Mobile Devices
tt10311562,tvSeries,#BlackAF,0,2020,36,Comedy,6.8,5304,#blackaf,Priya,0.1527777777777778,#blackAF,TH (Thailand),TV Show,16,26,9,2020,Apple Mobile Devices
tt10311562,tvSeries,#BlackAF,0,2020,36,Comedy,6.8,5304,#blackaf,Priya,0.4025,#blackAF,TH (Thailand),TV Show,12,26,9,2020,Apple Mobile Devices
tt10311562,tvSeries,#BlackAF,0,2020,36,Comedy,6.8,5304,#blackaf,Priya,0.5683333333333334,#blackAF,TH (Thailand),TV Show,18,25,9,2020,Apple Mobile Devices
tt10311562,tvSeries,#BlackAF,0,2020,36,Comedy,6.8,5304,#blackaf,Priya,0.5397222222222222,#blackAF,TH (Thailand),TV Show,17,25,9,2020,Apple Mobile Devices
tt10311562,tvSeries,#BlackAF,0,2020,36,Comedy,6.8,5304,#blackaf,Priya,0.36,#blackAF,TH (Thailand),TV Show,17,25,9,2020,Apple Mobile Devices
tt10311562,tvSeries,#BlackAF,0,2020,36,Comedy,6.8,5304,#blackaf,Priya,0.1777777777777777,#blackAF,TH (Thailand),TV Show,16,25,9,2020,Apple Mobile Devices
tt10311562,tvSeries,#BlackAF,0,2020,36,Comedy,6.8,5304,#blackaf,Priya,0.5602777777777778,#blackAF,TH (Thailand),TV Show,14,25,9,2020,Apple Mobile Devices
tt7518786,movie,'83,0,2021,162,"Biography,Drama,History",7.5,40595,'83,Home,1.79,'83,TH (Thailand),Movie,13,26,3,2022,Set Top Boxes
tt7518786,movie,'83,0,2021,162,"Biography,Drama,History",7.5,40595,'83,Home,0.8491666666666666,'83,TH (Thailand),Movie,12,26,3,2022,Set Top Boxes
tt7518786,movie,'83,0,2021,162,"Biography,Drama,History",7.5,40595,'83,Pranav,2.457777777777778,'83,TH (Thailand),Movie,11,25,3,2022,Apple Mobile Devices
tt0337563,movie,13 Going on 30,0,2004,98,"Comedy,Fantasy,Romance",6.3,214183,13 going on 30,Pranav,0.5030555555555556,13 Going on 30,US (United States),Movie,2,12,11,2023,Web Browsers
tt0337563,movie,13 Going on 30,0,2004,98,"Comedy,Fantasy,Romance",6.3,214183,13 going on 30,Priya,1.3075,13 Going on 30,GB (United Kingdom),Movie,20,23,9,2022,Streaming Devices
tt1837492,tvSeries,13 Reasons Why,0,2017,60,"Drama,Mystery,Thriller",7.5,313217,13 reasons why,Home,0.1813888888888888,13 Reasons Why,GB (United Kingdom),TV Show,20,28,4,2017,Web Browsers
tt1837492,tvSeries,13 Reasons Why,0,2017,60,"Drama,Mystery,Thriller",7.5,313217,13 reasons why,Pranav,1.0886111111111112,13 Reasons Why,TH (Thailand),TV Show,8,26,5,2018,Web Browsers
tt1837492,tvSeries,13 Reasons Why,0,2017,60,"Drama,Mystery,Thriller",7.5,313217,13 reasons why,Pranav,0.8775,13 Reasons Why,TH (Thailand),TV Show,7,26,5,2018,Web Browsers
tt1837492,tvSeries,13 Reasons Why,0,2017,60,"Drama,Mystery,Thriller",7.5,313217,13 reasons why,Pranav,0.9038888888888889,13 Reasons Why,TH (Thailand),TV Show,21,24,5,2018,Apple Mobile Devices
