,Profile Name,Duration,Title,Country,Type,Hour,Day,Month,Year,Device Category,tconst,titleType,primaryTitle,genres,averageRating,numVotes
1,Home,0.1444444444444444,The Girl From Oslo,IN (India),TV Show,11,30,12,2023,Set Top Boxes,,,,,,
2,Home,0.5613888888888889,The Girl From Oslo,IN (India),TV Show,10,30,12,2023,Set Top Boxes,,,,,,
3,Home,0.2388888888888889,The Girl From Oslo,IN (India),TV Show,10,30,12,2023,Set Top Boxes,,,,,,
4,Home,0.3216666666666666,The Girl From Oslo,IN (India),TV Show,7,30,12,2023,Set Top Boxes,,,,,,
236,Home,0.0838888888888888,My Life With The Walter Boys,IN (India),TV Show,9,23,12,2023,Set Top Boxes,,,,,,
315,Home,0.7291666666666666,Christmas As Usual,TH (Thailand),Movie,16,8,12,2023,Set Top Boxes,,,,,,
316,Home,0.4761111111111111,Christmas As Usual,TH (Thailand),Movie,15,8,12,2023,Set Top Boxes,,,,,,
317,Home,0.1580555555555555,Christmas As Usual,TH (Thailand),Movie,15,8,12,2023,Set Top Boxes,,,,,,
318,Home,2.313055555555556,Leave The World Behind,TH (Thailand),Movie,12,8,12,2023,Set Top Boxes,,,,,,
327,Home,0.2502777777777777,The Age Of Adaline,TH (Thailand),Movie,6,5,12,2023,Set Top Boxes,,,,,,
328,Home,0.7341666666666666,The Age Of Adaline,TH (Thailand),Movie,5,5,12,2023,Set Top Boxes,,,,,,
329,Home,0.6775,The Age Of Adaline,TH (Thailand),Movie,3,5,12,2023,Set Top Boxes,,,,,,
330,Home,0.0925,The Age Of Adaline,TH (Thailand),Movie,3,5,12,2023,Set Top Boxes,,,,,,
331,Home,0.5463888888888889,A Brush With Christmas,TH (Thailand),Movie,12,4,12,2023,Set Top Boxes,,,,,,
427,Home,1.4994444444444444,See You On Venus,IN (India),Movie,12,23,11,2023,Set Top Boxes,,,,,,
656,Home,0.0991666666666666,Shameless (U.S.),TH (Thailand),TV Show,5,29,10,2023,Set Top Boxes,,,,,,
657,Home,0.1088888888888888,Shameless (U.S.),TH (Thailand),TV Show,5,29,10,2023,Set Top Boxes,,,,,,
658,Home,0.265,Shameless (U.S.),TH (Thailand),TV Show,5,29,10,2023,Set Top Boxes,,,,,,
659,Home,0.1569444444444444,Shameless (U.S.),TH (Thailand),TV Show,3,29,10,2023,Set Top Boxes,,,,,,
660,Home,0.1947222222222222,Shameless (U.S.),TH (Thailand),TV Show,13,28,10,2023,Set Top Boxes,,,,,,
661,Home,0.2075,Heart Of Stone,TH (Thailand),Movie,13,28,10,2023,Set Top Boxes,,,,,,
662,Home,0.8955555555555555,Shameless (U.S.),TH (Thailand),TV Show,12,28,10,2023,Set Top Boxes,,,,,,
663,Home,0.7358333333333333,Shameless (U.S.),TH (Thailand),TV Show,6,28,10,2023,Set Top Boxes,,,,,,
664,Home,0.0994444444444444,Shameless (U.S.),TH (Thailand),TV Show,6,28,10,2023,Set Top Boxes,,,,,,
2006,Home,0.2536111111111111,Alice In Borderland,IN (India),TV Show,16,6,8,2023,Web Browsers,,,,,,
2025,Home,0.1111111111111111,Schitt'S Creek,IN (India),TV Show,15,28,7,2023,Web Browsers,,,,,,
2027,Home,0.1511111111111111,Schitt'S Creek,IN (India),TV Show,16,27,7,2023,Web Browsers,,,,,,
2028,Home,0.2063888888888889,Schitt'S Creek,IN (India),TV Show,16,26,7,2023,Web Browsers,,,,,,
2041,Home,0.2988888888888888,Schitt'S Creek,IN (India),TV Show,14,26,7,2023,Web Browsers,,,,,,
2042,Home,0.1705555555555555,Schitt'S Creek,IN (India),TV Show,13,26,7,2023,Web Browsers,,,,,,
2049,Home,0.1886111111111111,Schitt'S Creek,IN (India),TV Show,17,25,7,2023,Web Browsers,,,,,,
2050,Home,0.1569444444444444,Schitt'S Creek,IN (India),TV Show,17,25,7,2023,Web Browsers,,,,,,
2051,Home,0.2002777777777777,Schitt'S Creek,IN (India),TV Show,16,25,7,2023,Web Browsers,,,,,,
2052,Home,0.3541666666666667,Schitt'S Creek,IN (India),TV Show,16,25,7,2023,Web Browsers,,,,,,
2053,Home,0.0833333333333333,Schitt'S Creek,IN (India),TV Show,16,25,7,2023,Web Browsers,,,,,,
2157,Home,0.0841666666666666,Bird Box Barcelona,IN (India),Movie,15,17,7,2023,Web Browsers,,,,,,
2385,Home,0.3408333333333333,The Oa,TH (Thailand),TV Show,15,11,5,2023,Set Top Boxes,,,,,,
2386,Home,0.2338888888888889,The Oa,TH (Thailand),TV Show,14,11,5,2023,Set Top Boxes,,,,,,
2387,Home,0.2916666666666667,The Oa,TH (Thailand),TV Show,14,11,5,2023,Set Top Boxes,,,,,,
2388,Home,0.2647222222222222,The Oa,TH (Thailand),TV Show,12,11,5,2023,Set Top Boxes,,,,,,
2389,Home,0.1494444444444444,The Oa,TH (Thailand),TV Show,11,11,5,2023,Set Top Boxes,,,,,,
2390,Home,0.4944444444444444,The Oa,TH (Thailand),TV Show,10,11,5,2023,Set Top Boxes,,,,,,
2391,Home,0.42,The Oa,TH (Thailand),TV Show,15,10,5,2023,Set Top Boxes,,,,,,
2392,Home,0.8911111111111111,The Oa,TH (Thailand),TV Show,14,10,5,2023,Set Top Boxes,,,,,,
2393,Home,1.0144444444444445,The Oa,TH (Thailand),TV Show,13,10,5,2023,Set Top Boxes,,,,,,
2394,Home,0.9633333333333334,The Oa,TH (Thailand),TV Show,12,10,5,2023,Set Top Boxes,,,,,,
2395,Home,0.4305555555555556,The Oa,TH (Thailand),TV Show,11,10,5,2023,Set Top Boxes,,,,,,
2396,Home,0.495,The Oa,TH (Thailand),TV Show,15,9,5,2023,Set Top Boxes,,,,,,
2397,Home,0.5952777777777778,The Oa,TH (Thailand),TV Show,14,9,5,2023,Set Top Boxes,,,,,,
2398,Home,0.1994444444444444,The Oa,TH (Thailand),TV Show,14,9,5,2023,Set Top Boxes,,,,,,
2399,Home,0.3497222222222222,The Oa,TH (Thailand),TV Show,14,8,5,2023,Set Top Boxes,,,,,,
2422,Home,0.2541666666666666,The Patients Of Dr. García,TH (Thailand),TV Show,10,7,5,2023,Set Top Boxes,,,,,,
2858,Home,0.1988888888888889,Kannai Nambathe,TH (Thailand),Movie,11,19,4,2023,Set Top Boxes,,,,,,
3059,Home,0.3397222222222222,Wrong Side Of The Tracks,TH (Thailand),TV Show,10,28,3,2023,Set Top Boxes,,,,,,
3105,Home,0.1722222222222222,Maestro In Blue,TH (Thailand),TV Show,14,21,3,2023,Set Top Boxes,,,,,,
3106,Home,0.1866666666666666,Maestro In Blue,TH (Thailand),TV Show,12,20,3,2023,Set Top Boxes,,,,,,
3107,Home,0.6494444444444445,Maestro In Blue,TH (Thailand),TV Show,12,20,3,2023,Set Top Boxes,,,,,,
3108,Home,0.4911111111111111,Maestro In Blue,TH (Thailand),TV Show,11,20,3,2023,Set Top Boxes,,,,,,
3110,Home,0.2652777777777778,Maestro In Blue,TH (Thailand),TV Show,13,19,3,2023,Set Top Boxes,,,,,,
3111,Home,0.4641666666666666,Maestro In Blue,TH (Thailand),TV Show,9,19,3,2023,Set Top Boxes,,,,,,
3112,Home,0.35,Maestro In Blue,TH (Thailand),TV Show,4,19,3,2023,Set Top Boxes,,,,,,
3148,Home,0.6338888888888888,F*Ck Love Too,TH (Thailand),Movie,6,18,3,2023,Set Top Boxes,,,,,,
3219,Home,0.1883333333333333,How To Get Away With Murder,TH (Thailand),TV Show,8,11,3,2023,Set Top Boxes,,,,,,
3220,Home,0.475,How To Get Away With Murder,TH (Thailand),TV Show,8,11,3,2023,Set Top Boxes,,,,,,
3231,Home,0.1730555555555555,How To Get Away With Murder,TH (Thailand),TV Show,15,10,3,2023,Set Top Boxes,,,,,,
3232,Home,0.5313888888888889,How To Get Away With Murder,TH (Thailand),TV Show,14,10,3,2023,Set Top Boxes,,,,,,
3233,Home,0.1713888888888889,How To Get Away With Murder,TH (Thailand),TV Show,13,10,3,2023,Set Top Boxes,,,,,,
3234,Home,0.6988888888888889,How To Get Away With Murder,TH (Thailand),TV Show,12,10,3,2023,Set Top Boxes,,,,,,
3235,Home,0.7113888888888888,How To Get Away With Murder,TH (Thailand),TV Show,11,10,3,2023,Set Top Boxes,,,,,,
3721,Home,0.225,In From The Cold,IN (India),TV Show,7,11,2,2023,Apple Mobile Devices,,,,,,
3722,Home,0.37,In From The Cold,IN (India),TV Show,23,10,2,2023,Apple Mobile Devices,,,,,,
3723,Home,0.0911111111111111,In From The Cold,IN (India),TV Show,23,10,2,2023,Apple Mobile Devices,,,,,,
3724,Home,0.3908333333333333,In From The Cold,IN (India),TV Show,17,10,2,2023,Apple Mobile Devices,,,,,,
3725,Home,0.1475,In From The Cold,IN (India),TV Show,11,10,2,2023,Apple Mobile Devices,,,,,,
3726,Home,0.1583333333333333,In From The Cold,IN (India),TV Show,9,10,2,2023,Apple Mobile Devices,,,,,,
3727,Home,0.2394444444444444,In From The Cold,IN (India),TV Show,10,9,2,2023,Apple Mobile Devices,,,,,,
3728,Home,0.4397222222222222,In From The Cold,TH (Thailand),TV Show,14,7,2,2023,Apple Mobile Devices,,,,,,
3729,Home,0.7961111111111111,In From The Cold,TH (Thailand),TV Show,12,6,2,2023,Set Top Boxes,,,,,,
3730,Home,0.2327777777777777,In From The Cold,TH (Thailand),TV Show,11,6,2,2023,Set Top Boxes,,,,,,
3731,Home,0.6405555555555555,In From The Cold,TH (Thailand),TV Show,14,5,2,2023,Set Top Boxes,,,,,,
3732,Home,0.3097222222222222,In From The Cold,TH (Thailand),TV Show,13,5,2,2023,Set Top Boxes,,,,,,
3733,Home,0.2144444444444444,In From The Cold,TH (Thailand),TV Show,10,5,2,2023,Set Top Boxes,,,,,,
3734,Home,0.3052777777777777,In From The Cold,TH (Thailand),TV Show,8,5,2,2023,Set Top Boxes,,,,,,
3735,Home,0.3325,In From The Cold,TH (Thailand),TV Show,7,5,2,2023,Set Top Boxes,,,,,,
3736,Home,0.4675,In From The Cold,TH (Thailand),TV Show,6,5,2,2023,Set Top Boxes,,,,,,
3737,Home,0.3844444444444444,In From The Cold,TH (Thailand),TV Show,5,5,2,2023,Set Top Boxes,,,,,,
3738,Home,0.4072222222222222,In From The Cold,TH (Thailand),TV Show,4,5,2,2023,Set Top Boxes,,,,,,
3861,Home,0.4277777777777777,The Price Of Family,TH (Thailand),Movie,9,28,1,2023,Set Top Boxes,,,,,,
3862,Home,0.3933333333333333,The Price Of Family,TH (Thailand),Movie,8,28,1,2023,Set Top Boxes,,,,,,
3863,Home,0.32,The Price Of Family,TH (Thailand),Movie,7,28,1,2023,Set Top Boxes,,,,,,
3864,Home,0.2555555555555555,The Price Of Family,TH (Thailand),Movie,4,28,1,2023,Set Top Boxes,,,,,,
3884,Home,0.3766666666666666,Dead To Me,TH (Thailand),TV Show,15,24,1,2023,Set Top Boxes,,,,,,
3885,Home,0.1011111111111111,Dead To Me,TH (Thailand),TV Show,13,24,1,2023,Set Top Boxes,,,,,,
3886,Home,0.5538888888888889,Dead To Me,TH (Thailand),TV Show,12,24,1,2023,Set Top Boxes,,,,,,
3887,Home,0.4141666666666667,Dead To Me,TH (Thailand),TV Show,12,24,1,2023,Set Top Boxes,,,,,,
3894,Home,0.3438888888888889,Dead To Me,TH (Thailand),TV Show,12,23,1,2023,Set Top Boxes,,,,,,
3895,Home,0.2283333333333333,Dead To Me,TH (Thailand),TV Show,10,23,1,2023,Set Top Boxes,,,,,,
3897,Home,0.0952777777777777,That '90S Show,TH (Thailand),TV Show,10,22,1,2023,Set Top Boxes,,,,,,
3898,Home,0.4491666666666666,7 Women And A Murder,TH (Thailand),Movie,14,21,1,2023,Set Top Boxes,,,,,,
4304,Home,2.375,Rrr (Hindi),TH (Thailand),Movie,10,13,1,2023,Set Top Boxes,,,,,,
4305,Home,0.3991666666666666,Rrr (Hindi),TH (Thailand),Movie,14,12,1,2023,Set Top Boxes,,,,,,
4308,Home,0.1111111111111111,Pieces Of Her,TH (Thailand),TV Show,13,12,1,2023,Set Top Boxes,,,,,,
4328,Home,0.1216666666666666,Amazing Hotels,TH (Thailand),TV Show,13,9,1,2023,Set Top Boxes,,,,,,
4436,Home,1.4194444444444445,Falling For Christmas,TH (Thailand),Movie,11,31,12,2022,Set Top Boxes,,,,,,
4590,Home,0.145,Dead To Me,TH (Thailand),TV Show,13,28,12,2022,Set Top Boxes,,,,,,
4591,Home,0.3205555555555555,Dead To Me,TH (Thailand),TV Show,13,28,12,2022,Set Top Boxes,,,,,,
4592,Home,0.1069444444444444,Dead To Me,TH (Thailand),TV Show,13,28,12,2022,Set Top Boxes,,,,,,
