Profile Name,Duration,Title,Country,Type,Hour,Day,Month,Year,Device Category
Home,0.15833333333333333,The Perfect Mother,IN (India),TV Show,13,12,2,2024,Set Top Boxes
Home,0.37305555555555553,The Perfect Mother,IN (India),TV Show,11,10,2,2024,Set Top Boxes
Home,0.12666666666666668,The Perfect Mother,IN (India),TV Show,7,10,2,2024,Set Top Boxes
Home,0.16833333333333333,The Perfect Mother,IN (India),TV Show,6,10,2,2024,Set Top Boxes
Home,0.15194444444444444,Sleeping Dog,TH (Thailand),TV Show,13,4,2,2024,Set Top Boxes
Home,0.26611111111111113,Sleeping Dog,TH (Thailand),TV Show,12,4,2,2024,Set Top Boxes
Home,1.4633333333333334,After Everything,TH (Thailand),Movie,3,3,2,2024,Set Top Boxes
Home,0.32916666666666666,The Nanny Diaries,TH (Thailand),Movie,12,29,1,2024,Set Top Boxes
Home,0.13361111111111112,The Nanny Diaries,TH (Thailand),Movie,12,29,1,2024,Set Top Boxes
Home,1.0730555555555557,Love at First Sight,TH (Thailand),Movie,14,28,1,2024,Set Top Boxes
Home,0.32611111111111113,Love at First Sight,TH (Thailand),Movie,7,28,1,2024,Set Top Boxes
Home,0.18694444444444444,Griselda,TH (Thailand),TV Show,15,27,1,2024,Set Top Boxes
Home,0.12861111111111112,¿Quién mató a Sara?,TH (Thailand),TV Show,14,20,1,2024,Set Top Boxes
Home,0.10472222222222222,¿Quién mató a Sara?,TH (Thailand),TV Show,14,20,1,2024,Set Top Boxes
Home,0.09111111111111111,Yellowstone,TH (Thailand),TV Show,15,19,1,2024,Set Top Boxes
Home,0.31444444444444447,Jersey Girl,TH (Thailand),Movie,14,19,1,2024,Set Top Boxes
Home,0.31027777777777776,Jersey Girl,TH (Thailand),Movie,12,19,1,2024,Set Top Boxes
Home,0.5722222222222222,Jersey Girl,TH (Thailand),Movie,15,18,1,2024,Set Top Boxes
Home,0.45611111111111113,Jersey Girl,TH (Thailand),Movie,15,18,1,2024,Set Top Boxes
Home,1.7952777777777778,Marry Me,TH (Thailand),Movie,14,17,1,2024,Set Top Boxes
Home,0.7369444444444444,Yellowstone,TH (Thailand),TV Show,12,15,1,2024,Set Top Boxes
Home,0.22444444444444445,Yellowstone,TH (Thailand),TV Show,10,15,1,2024,Apple Mobile Devices
Home,0.08611111111111111,Yellowstone,TH (Thailand),TV Show,10,15,1,2024,Apple Mobile Devices
Home,0.6944444444444444,Dear Child,TH (Thailand),TV Show,11,14,1,2024,Set Top Boxes
Home,0.5905555555555555,Dear Child,TH (Thailand),TV Show,10,14,1,2024,Set Top Boxes
Home,0.13194444444444445,Dear Child,TH (Thailand),TV Show,7,14,1,2024,Set Top Boxes
Home,0.2536111111111111,Dear Child,TH (Thailand),TV Show,7,14,1,2024,Set Top Boxes
Home,0.16305555555555556,Dear Child,TH (Thailand),TV Show,6,14,1,2024,Set Top Boxes
Home,0.16805555555555557,Dear Child,TH (Thailand),TV Show,5,14,1,2024,Set Top Boxes
Home,0.3363888888888889,Dear Child,TH (Thailand),TV Show,5,14,1,2024,Set Top Boxes
Home,0.39666666666666667,Dear Child,TH (Thailand),TV Show,4,14,1,2024,Set Top Boxes
Home,0.42833333333333334,Dear Child,TH (Thailand),TV Show,4,14,1,2024,Set Top Boxes
Home,0.2075,Dear Child,TH (Thailand),TV Show,3,14,1,2024,Set Top Boxes
Home,0.10166666666666667,Dear Child,TH (Thailand),TV Show,3,14,1,2024,Set Top Boxes
Home,0.26472222222222225,Dear Child,TH (Thailand),TV Show,16,13,1,2024,Set Top Boxes
Home,0.695,Dear Child,TH (Thailand),TV Show,15,13,1,2024,Set Top Boxes
Home,0.64,Dear Child,TH (Thailand),TV Show,14,13,1,2024,Set Top Boxes
Home,0.10416666666666667,No Hard Feelings,TH (Thailand),Movie,14,13,1,2024,Set Top Boxes
Home,0.24444444444444444,No Hard Feelings,TH (Thailand),Movie,13,13,1,2024,Set Top Boxes
